time,code
00:00:00,NA
00:00:21,LT
00:00:31,FB
00:05:39,LT
00:12:57,CQ
00:13:15,ST
00:13:31,CQ
00:13:32,ST
00:13:34,FB
00:13:37,CQ
00:13:38,ST
00:13:40,FB
00:13:49,LQ
00:13:54,SR
00:13:59,LR
00:14:02,LT
00:14:21,LQ
00:14:25,LT
00:14:57,CQ
00:15:13,SR
00:15:15,FB
00:15:18,LT
00:18:13,CQ
00:18:25,ST
00:18:48,LQ
00:18:59,SR
00:19:00,LR
00:19:02,FB
00:19:13,LT
00:19:54,LQ
00:19:59,SR
00:20:00,LR
00:20:03,LT
00:23:18,LQ
00:23:33,SR
00:23:38,LR
00:23:45,LT
00:24:50,LQ
00:25:26,SD
00:27:36,FB
00:28:00,SR
00:28:01,FB
00:28:03,LQ
00:28:19,SR
00:28:26,LR
00:28:30,LT
00:28:45,LQ
00:28:48,CQ
00:29:02,SD
00:32:29,LT
00:32:46,SR
00:32:47,LT
00:34:25,LQ
00:34:40,SR
00:34:41,LR
00:34:49,LT
00:38:56,LQ
00:39:14,SR
00:39:16,LR
00:39:26,LQ
00:39:29,SR
00:39:31,LR
00:39:33,LT
00:40:21,CQ
00:40:41,SD
00:42:29,FB
00:42:35,LQ
00:42:58,SR
00:43:08,LR
00:43:15,FB
00:43:25,LQ
00:43:33,SR
00:43:41,LR
00:43:52,LT
00:44:05,CQ
00:44:17,SD
00:47:22,FB
00:47:34,LT
00:48:35,FB
00:48:39,LT
00:50:30,END
