time,code
00:00:00,NA
00:02:16,LT
00:02:37,AD
00:03:00,FB
00:06:38,LT
00:12:14,CQ
00:13:05,SD
00:15:01,FB
00:15:30,LT
00:21:40,LQ
00:21:52,SR
00:21:54,LT
00:24:06,CQ
00:24:14,SD
00:25:13,FB
00:25:18,SD
00:26:20,FB
00:26:32,LQ
00:26:40,SR
00:26:50,LR
00:26:57,LT
00:27:46,FB
00:27:48,LT
00:27:58,FB
00:28:03,LT
00:29:50,CQ
00:30:11,SD
00:31:23,FB
00:31:35,LQ
00:31:42,SR
00:31:44,LR
00:31:55,LT
00:33:32,CQ
00:34:02,SD
00:39:38,FB
00:42:51,LT
00:47:02,AD
00:47:40,LQ
00:47:46,SR
00:47:47,AD
00:48:19,LQ
00:48:20,SR
00:48:21,AD
00:48:46,LT
00:52:09,END
