time,code,Comments
00:00:00,NA,
00:03:01,AD,
00:03:44,LT,
00:07:44,CQ,
00:07:48,ST,
00:08:48,FB,
00:09:04,SD,
00:11:26,FB,
00:11:48,LT,
00:15:23,SQ,
00:15:38,LQ,
00:15:40,SR,
00:15:41,LR,
00:15:56,SQ,
00:16:00,LR,
00:16:05,LQ,
00:16:11,SQ,
00:16:12,LQ,
00:16:14,SQ,
00:16:23,LR,
00:16:28,LQ,
00:16:32,LR,
00:16:41,LQ,
00:16:43,SR,
00:16:45,LR,
00:17:34,LT,
00:21:42,LQ,
00:21:53,SQ,
00:22:03,LQ,
00:22:06,SR,
00:22:07,LR,
00:22:09,CQ,
00:22:14,ST,
00:23:41,FB,
00:23:59,SD,
00:26:58,FB,
00:27:33,LT,
00:29:22,LQ,
00:29:28,SQ,
00:29:30,LR,
00:29:42,LT,
00:29:47,LQ,
00:29:48,LT,
00:30:24,LQ,
00:30:27,SR,
00:30:29,LQ,
00:30:30,SR,
00:30:33,LR,
00:30:34,LT,
00:30:54,LQ,
00:31:02,LQ,
00:31:12,SR,
00:31:16,LT,
00:33:51,CQ,
00:33:55,ST,
00:35:17,FB,
00:35:40,SD,
00:37:57,FB,
00:38:33,LT,
00:40:55,LQ,
00:41:04,SQ,
00:41:11,LQ,
00:41:14,SQ,
00:41:30,LR,
00:41:43,LT,
00:42:33,CQ,
00:42:40,ST,
00:44:36,FB,
00:44:42,SD,
00:47:48,FB,
00:48:08,LT,
00:49:03,LQ,
00:49:08,SR,
00:49:12,LR,
00:49:14,LT,
00:51:45,LQ,
00:51:48,LT,
00:51:57,END,
