time,code
00:00:00,NA
00:01:24,AD
00:03:34,FB
00:04:58,LT
00:12:56,LQ
00:13:04,SQ
00:13:13,LR
00:14:43,LQ
00:14:48,LT
00:14:54,CQ
00:15:22,ST
00:17:29,FB
00:17:52,LT
00:19:52,LQ
00:20:00,LT
00:22:20,LQ
00:22:22,SR
00:22:25,LR
00:24:23,LQ
00:24:25,SR
00:24:27,LR
00:25:21,LT
00:25:38,LQ
00:25:40,SQ
00:25:46,LR
00:26:27,LT
00:26:40,CQ
00:26:55,ST
00:28:38,FB
00:29:01,SD
00:31:23,FB
00:31:43,LT
00:32:00,LQ
00:32:05,SR
00:32:06,LR
00:32:07,LT
00:32:40,LQ
00:32:49,SR
00:32:50,LR
00:32:52,LT
00:33:06,FB
00:33:34,LT
00:33:49,LQ
00:33:54,LT
00:37:41,LQ
00:37:46,SQ
00:37:48,LR
00:37:55,LT
00:38:05,LQ
00:38:14,SR
00:38:15,LR
00:38:18,LQ
00:38:21,SR
00:38:22,LR
00:38:23,LT
00:38:41,LQ
00:38:47,SR
00:38:49,LR
00:38:51,LT
00:39:02,LQ
00:39:09,SR
00:39:09,LR
00:39:14,LT
00:39:27,LQ
00:39:31,SR
00:39:32,LR
00:39:33,LQ
00:39:39,SR
00:39:40,LQ
00:39:42,SR
00:39:43,LR
00:39:44,LT
00:39:55,LQ
00:40:00,SR
00:40:01,LQ
00:40:04,SR
00:40:05,LR
00:40:07,LT
00:41:17,LQ
00:41:25,SR
00:41:26,LR
00:41:29,LT
00:48:03,LQ
00:48:14,SR
00:48:15,LR
00:48:16,LT
00:49:22,LQ
00:49:29,LT
00:49:39,END
