time,code,Comments
00:00:00,NA,
00:01:46,LT,
00:04:36,LQ,
00:04:40,SQ,
00:04:48,LR,
00:04:53,SQ,
00:04:55,LR,
00:05:04,LQ,
00:05:07,SR,
00:05:09,LR,
00:05:48,LT,
00:06:10,CQ,
00:06:26,ST,
00:07:57,FB,
00:08:23,SD,
00:10:15,FB,
00:10:29,LT,
00:10:46,LQ,
00:10:54,LQ,Rephrasing of previous question
00:10:59,SR,
00:11:00,LT,
00:11:39,LQ,
00:11:55,SR,
00:11:56,LT,
00:12:47,LQ,
00:12:51,CQ,
00:13:12,ST,
00:14:01,FB,
00:14:17,SD,
00:15:49,FB,
00:16:13,LT,
00:16:23,LQ,
00:16:29,SR,
00:16:30,LT,
00:17:37,LQ,
00:17:40,LT,
00:22:33,LQ,
00:22:36,SQ,
00:22:38,LR,
00:22:51,LQ,
00:22:58,LR,
00:24:20,LQ,
00:24:29,SR,
00:24:34,LR,
00:25:42,LQ,
00:25:45,SQ,
00:25:49,LR,
00:26:20,SQ,
00:26:29,LR,
00:27:03,SQ,
00:27:10,LR,
00:27:40,LT,
00:27:53,CQ,
00:28:03,ST,
00:29:52,FB,
00:30:12,SD,
00:32:20,FB,
00:32:34,LT,
00:32:46,LQ,
00:32:54,SR,
00:32:55,LT,
00:33:43,LQ,
00:33:47,LT,
00:41:23,LQ,
00:41:27,LT,
00:42:15,LQ,
00:42:22,SR,
00:42:25,LT,
00:48:37,LQ,
00:48:41,SQ,
00:48:48,LR,
00:49:08,LT,
00:50:41,SR,
00:50:49,LT,
00:51:23,END,
