time,code
00:00:00,AD
00:00:14,LT
00:01:30,FB
00:01:40,LT
00:02:20,LQ
00:02:26,SR
00:02:28,LR
00:02:29,SR
00:02:30,LR
00:02:32,LT
00:04:02,FB
00:04:18,LT
00:05:31,FB
00:05:41,LT
00:06:03,SQ
00:06:06,LR
00:06:07,SR
00:06:08,LR
00:07:31,LQ
00:07:33,FB
00:07:38,SQ
00:07:44,LR
00:07:47,SQ
00:07:48,LR
00:08:03,LQ
00:08:05,AD
00:08:13,LT
00:12:20,CQ
00:12:32,ST
00:14:33,FB
00:14:46,LT
00:17:13,AD
00:17:21,LT
00:18:15,AD
00:18:32,LT
00:19:39,LQ
00:19:49,SR
00:19:50,LR
00:20:05,LT
00:27:43,LQ
00:27:53,SR
00:27:56,LQ
00:27:57,SR
00:27:59,LR
00:28:01,SR
00:28:02,LR
00:28:05,LT
00:28:51,LQ
00:28:53,LT
00:29:06,LQ
00:29:10,LT
00:29:36,SR
00:29:38,LT
00:34:44,CQ
00:34:55,ST
00:35:32,SD
00:36:20,FB
00:36:49,LT
00:37:07,LQ
00:37:11,SR
00:37:12,LR
00:37:13,LT
00:44:55,LQ
00:44:59,SR
00:45:00,LR
00:45:02,LT
00:51:47,FB
00:52:17,AD
00:52:24,END
